lat,lng,elevation,distance
34.812152,138.058808,196.85,822
34.812167,138.058783,196,825
34.812183,138.058758,196.64,827
34.812198,138.058733,195.29,830
34.812214,138.058708,195.29,833
34.812229,138.058683,194.12,836
34.812245,138.058658,192.35,839
34.812260,138.058633,192.8,842
34.812276,138.058608,191.12,845
34.812291,138.058583,191.57,847
34.812307,138.058558,189.75,850
34.812322,138.058533,187.86,853
34.812338,138.058508,188.43,856
